UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.000777,7.610107,46.97603,13.4707,1.217191,9.110165,9.848003,10,-4.825178
3.000836,17.36403,37.99921,24.67326,5.802602,18.55695,15.19011,10,-11.2019
4.001055,18.38027,34.94207,36.60176,9.46081,28.47297,20.96358,9.999999,-11.92587
5.001372,18.94706,33.21584,48.51102,13.17771,38.38601,26.57407,10.04601,-11.90549
6.002826,16.40568,28.09081,57.73223,14.38492,48.85788,27.18439,10.00611,-9.207824
7.004228,13.32825,24.15941,66.96278,14.08479,59.45189,27.40632,10.00081,-9.217636
8.004887,10.94255,21.07542,76.43845,13.5393,70.02848,27.48699,10.00011,-9.469422
9.005251,9.256208,18.61929,86.18294,13.13693,80.60875,27.51635,10.00001,-9.740943
10.00565,7.953515,16.64468,96.10201,12.74042,91.18958,27.52704,10,-9.915127
11.00702,6.923317,15.03045,106.1609,12.35892,101.7813,27.53094,10,-10.04503
12.00747,6.085715,13.69324,116.3059,11.97984,112.3633,27.53235,10,-10.14047
13.00823,5.485476,13.71423,127.1426,11.80749,122.9522,30.14289,10,-10.82857
14.0084,5.099889,12.73326,137.4486,11.91765,133.5375,30.29537,10.1984,-10.30415
15.00981,4.774123,12.43121,148.1101,12.03787,144.1359,31.88327,10,-10.64658
16.01127,4.499197,13.63295,159.7126,12.17569,154.7345,37.64443,10,-11.58562
17.01271,4.295857,14.68342,171.3943,12.41928,165.331,43.44471,10,-11.66483
18.01299,4.147894,15.58135,183.1033,12.75736,175.9123,49.18274,10,-11.7058
19.0146,4.088005,16.38778,194.8908,13.32907,186.4975,54.98583,10,-11.76853
20.01518,3.602592,16.25099,205.5252,12.39832,196.9235,57.51533,10.06708,-10.62823
21.01644,4.991066,17.09386,215.4433,17.91565,205.1452,63.32697,10,-9.905614
22.01739,6.790083,17.99805,225.2373,25.32718,212.7133,69.59483,10,-9.784708
23.01755,7.634657,18.63101,236.313,29.75033,221.9442,75.49548,10,-11.07399
24.01762,8.014981,19.20907,247.9604,32.64871,231.8678,81.58298,9.999999,-11.64653
25.01905,9.184552,20.1806,254.147,38.07535,235.4866,87.6757,3.791858,-6.177684
26.01974,9.790973,21.34716,258.4206,40.93049,237.1851,94.06976,9.173971,-4.270667
27.02016,11.42129,22.25775,265.282,48.61738,240.6539,100.4818,10,-6.858487
28.02284,12.6214,23.21063,271.185,54.45999,243.2132,106.8774,3.641701,-5.887286
29.024,13.03355,24.13489,275.7121,56.74367,245.1289,112.7349,9.233577,-4.521835
30.02427,13.03355,24.54498,283.3958,58.1365,251.1458,117.7247,1.221933,-7.68163
31.02449,12.87365,25.59907,285.5288,57.37171,251.0286,123.3687,0.4449915,-2.132556
32.02499,13.15282,26.65935,288.5149,58.67189,251.0787,129.4523,1.401114,-2.984567
33.02514,14.10974,27.64904,292.5612,63.17622,251.3342,135.7644,3.17082,-4.045749
34.0256,13.93827,28.76638,295.3564,62.36441,251.283,142.1371,2.317042,-2.7939
