UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.000401,181.0653,40.80973,2579.76,-36.30244,-1952.242,-1686,30,-22.56498
3.001211,181.2325,40.37558,2602.674,-42.64912,-1982.296,-1686,30,-22.89528
4.002551,181.8791,40.05891,2619.741,-65.74661,-2004.028,-1686,30,-17.04455
5.003003,182.6507,39.82962,2632.291,-93.48598,-2019.311,-1686,30,-12.54341
6.003126,183.4996,39.68963,2640.032,-124.0095,-2027.756,-1686,30,-7.740747
7.004532,184.3801,39.56418,2642.76,-155.596,-2031.384,-1683.285,30,-2.723954
8.007445,185.2599,39.38388,2643.302,-187.2938,-2034.437,-1677.21,30,-0.5404179
9.008863,186.1337,39.23257,2645.488,-218.95,-2037.424,-1673.191,30.02631,-2.18245
10.01047,187.0031,39.13102,2649.99,-250.6251,-2040.274,-1672.398,30.00349,-4.494735
11.01106,187.8672,39.09496,2657.295,-282.2851,-2042.922,-1675.71,30,-7.301608
12.01134,188.7251,39.09726,2666.656,-313.9344,-2045.58,-1681.696,30,-9.357743
13.0115,189.5763,39.09495,2676.524,-345.5741,-2048.309,-1687.836,30,-9.866814
14.01267,190.4218,39.08671,2686.77,-377.2456,-2051.047,-1693.997,30,-10.23362
15.01325,191.2601,39.07237,2697.354,-408.8986,-2053.783,-1700.146,30,-10.57829
16.01331,192.0908,39.05225,2708.278,-440.5348,-2056.517,-1706.293,30,-10.92302
17.01436,192.9151,39.00521,2718.73,-472.2032,-2059.248,-1711.145,30.00986,-10.44133
18.01493,193.7335,38.88443,2726.6,-503.8746,-2061.744,-1711.627,30.00131,-7.864978
19.0161,194.548,38.75839,2734.344,-535.5935,-2063.857,-1711.802,30.00017,-7.735033
20.01727,195.359,38.63041,2741.946,-567.3392,-2065.478,-1711.781,30,-7.593182
21.0191,196.1794,38.42521,2744.594,-599.1358,-2065.01,-1705.745,30,-2.643586
22.0196,197.0131,38.26309,2744.931,-630.6042,-2060.934,-1699.863,30,-0.3362607
23.01977,197.8562,38.16491,2741.394,-660.9031,-2051.554,-1693.981,30,3.536488
24.02073,198.6923,38.1282,2734.225,-689.3091,-2037.378,-1688.174,30,7.161585
25.02189,199.4999,38.15863,2723.217,-714.7698,-2018.455,-1682.515,30,10.99536
26.02353,200.2003,38.30198,2705.76,-733.2009,-1992.754,-1677.047,30,17.42871
27.02514,200.7754,38.52187,2683.787,-744.7813,-1963.188,-1671.499,30,21.93695
28.02548,201.2376,38.78821,2659.275,-750.8494,-1932.044,-1665.885,30,24.50448
29.02701,201.6247,39.10753,2634.429,-753.3459,-1900.345,-1661.74,30.01812,24.80721
30.03105,202.011,39.49474,2611.731,-755.3528,-1868.527,-1661.08,30.0024,22.6069
31.03251,202.4311,39.88756,2589.872,-758.2681,-1836.865,-1660.841,30.00032,21.82743
32.03268,202.8799,40.28292,2568.59,-761.8455,-1805.31,-1660.754,30.00004,21.27783
33.03421,203.3519,40.68174,2547.68,-765.8049,-1773.758,-1660.722,30.00001,20.87887
34.03524,203.8611,41.0779,2527.393,-770.6879,-1742.354,-1660.711,30,20.26564
35.03552,204.4422,41.45744,2508.379,-777.8545,-1711.421,-1660.706,30,19.00888
36.0365,205.093,41.81766,2490.702,-787.2134,-1681.055,-1660.706,30,17.65967
37.03748,205.8284,42.14438,2474.968,-799.5022,-1651.762,-1660.706,30,15.71847
38.03882,206.6393,42.43353,2461.274,-814.5005,-1623.734,-1660.706,30,13.6758
39.04028,207.5083,42.68704,2449.443,-831.613,-1596.949,-1660.706,30,11.81382
40.0407,208.4312,42.89663,2439.783,-850.9594,-1571.771,-1660.706,30,9.655868
41.04097,209.406,43.12862,2436.193,-872.9818,-1548.913,-1665.475,30,3.589346
42.04224,210.4194,43.30865,2436.817,-897.8143,-1529.103,-1671.481,30,-0.6232313
43.0434,211.4461,43.42236,2440.427,-924.7057,-1512.173,-1677.479,30,-3.605697
44.04824,212.4695,43.46889,2447.021,-953.4048,-1498.304,-1683.455,30,-6.563195
45.04845,213.4415,43.41439,2458.102,-984.0022,-1489.967,-1689.38,30,-11.0782
46.04863,214.3475,43.28698,2472.557,-1015.492,-1486.007,-1695.316,30,-14.45203
47.04986,215.0897,43.0484,2492.016,-1046.879,-1490.128,-1701.09,30,-19.43535
