time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2024-02-04 17:09:05,40.4290080390871,-86.92927639075,0,Available with any HD 360 subscription,Available with any HD 360 subscription,622.85853305483,0.328084,0,0,0,25,5,0,622.85853305483,0,0,0,0,0,0,356.5, -9.1, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0.2,0,0,99,4.077,4.08,0,0,0,0,0,70.34,622.85853305483,0,41,Motors_Started,"Gimbal stuck Gimbal stuck. Check whether gimbal cover is removed and make sure gimbal can rotate freely on all three axes (Code: 40028). Remote ID functionality normal (Code: 30331)"
100,2024-02-04 17:09:05,40.4290080446889,-86.9292763866883,0,,,622.85853305483,0.328084,0,0.0023344652978,0.0023344652978,25,5,0,622.85853305483,0,0,0.0023344652978,0,0,0,356.5, -9, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0.2,0,0,99,4.077,4.08,0,0,0,0,0,70.34,622.85853305483,0,41,Motors_Started,
200,2024-02-04 17:09:05,40.4290079712884,-86.9292763325928,0,,,622.85853305483,0.328084,0,0.0295426190556,0.033041011556,25,5,0,622.85853305483,0,0,0.0295426190556,0,0,0,356.6, -9.1, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,0.2,0,0,99,4.077,4.08,0,0,0,0,0,70.34,622.85853305483,0,41,Motors_Started,"Aircraft in Warning Zone (Class D Airspace). Fly with caution"
300,2024-02-04 17:09:05,40.4290079618272,-86.9292763313355,0,,,622.85853305483,0.328084,0,0.0326628291292,0.036510499856,25,5,0,622.85853305483,0,0,0.0326628291292,0,0,0,356.8, -9.1, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0.2,0,0,99,4.077,4.08,0,0,0,0,0,70.34,622.85853305483,0,41,Motors_Started,
400,2024-02-04 17:09:05,40.4290079905432,-86.9292763296505,0,,,622.85853305483,0.328084,0,0.024528216008,0.046998033,25,5,0,622.85853305483,0,0,0.0326628291292,0,0,0,356.8, -9, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0.2,0,0,99,4.077,4.08,0,0,0,0,0,70.34,622.85853305483,0,41,Motors_Started,
500,2024-02-04 17:09:05,40.4290080314138,-86.9292763275611,0,,,622.85853305483,0.328084,0,0.017771161986,0.06192093374,25,5,0,622.85853305483,0,0,0.0326628291292,0,0,0,356.9, -9.1, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0.2,0,0,99,4.077,4.08,0,0,0,0,0,70.34,622.85853305483,0,41,Motors_Started,
600,2024-02-04 17:09:06,40.4290080824167,-86.9292764203031,0,,,622.85853305483,0.328084,0,0.0178124677616,0.093696525308,25,5,0,622.85853305483,0,0,0.0326628291292,0,0,0,356.9, -9.1, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0.2,0,0,99,4.077,4.08,0,0,0,0,0,70.34,622.85853305483,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 3. Setting new Maximum Flight Altitude to 120m (394 ft)"
700,2024-02-04 17:09:06,40.4290080923535,-86.9292764697454,0,,,622.85853305483,0.328084,0,0.0293089576308,0.1078986255,25,5,0,622.85853305483,0,0,0.0326628291292,0,0,0,356.9, -9.1, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,0.2,0,0,99,4.077,4.08,0,0,0,0,0,70.34,622.85853305483,0,41,Motors_Started,
800,2024-02-04 17:09:06,40.4290081256519,-86.9292764941292,0,,,622.85853305483,0.328084,0,0.042682744148,0.121807418596,25,5,0,622.85853305483,0,0,0.042682744148,0,0,0,356.9, -9.1, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0.2,0,0,99,4.077,4.08,0,0,0,0,0,70.34,622.85853305483,0,41,Motors_Started,
900,2024-02-04 17:09:06,40.4290081718671,-86.9292765094296,0,,,622.85853305483,0.328084,0,0.05859416198,0.13919619868,25,5,8.271,622.85853305483,0,0,0.05859416198,0,0,0,356.9, -9.1, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,0.3,0,0,99,4.077,4.08,0,0,0,0,0.691,70.34,622.85853305483,0,41,Motors_Started,
