time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
171900,2024-02-01 19:25:11,40.429011174449,-86.9292831495268,0,Available with any HD 360 subscription,Available with any HD 360 subscription,622.8585829236,0,0,0,0,29,5,0,622.8585829236,0,0,0,0,0,0,293.9, -8.5, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,41,Motors_Started,"Gimbal stuck Gimbal stuck. Check whether gimbal cover is removed and make sure gimbal can rotate freely on all three axes (Code: 40028). Remote ID functionality normal (Code: 30331)"
172000,2024-02-01 19:25:11,40.4290111715027,-86.9292831491667,0,,,622.8585829236,0,0,0.00107958336788,0.00107958336788,29,5,0,622.8585829236,0,0,0.00107958336788,0,0,0,293.9, -8.5, 2.6,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,41,Motors_Started,
172100,2024-02-01 19:25:11,40.4290111035331,-86.929283041501,0,,,622.8585829236,0,0,0.039617455336,0.039926510464,29,5,0,622.8585829236,0,0,0.039617455336,0,0,0,294, -8.5, 2.6,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,41,Motors_Started,"Aircraft in Warning Zone (Class D Airspace). Fly with caution"
172200,2024-02-01 19:25:11,40.4290111003707,-86.9292830796329,0,,,622.8585829236,0,0,0.0332759197,0.050579397944,29,5,0,622.8585829236,0,0,0.039617455336,0,0,0,293.9, -8.5, 2.6,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 2. Setting new Maximum Flight Altitude to 120m (394 ft)"
172300,2024-02-01 19:25:11,40.4290110984306,-86.9292831262476,0,,,622.8585829236,0,0,6.6595474572,0.06354494954,29,5,0,622.8585829236,0,0,6.6595474572,0,0,0,293.9, -8.6, 2.6,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,41,Motors_Started,
172400,2024-02-01 19:25:11,40.4290110967368,-86.9292831475067,0,,,622.8585829236,0,0,6.6629595308,0.069481301436,29,5,0,622.8585829236,0,0,6.6629595308,0,0,0,293.9, -8.6, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,41,Motors_Started,
172500,2024-02-01 19:25:11,40.4290110610997,-86.9292831731606,0,,,622.8585829236,0,0,6.6578414204,0.08430774548,29,5,0,622.8585829236,0,0,6.6629595308,0,0,0,293.9, -8.6, 2.6,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,41,Motors_Started,
172600,2024-02-01 19:25:11,40.4290110608872,-86.9292832192238,0,,,622.8585829236,0,0,6.6662075624,0.097101052976,29,5,0,622.8585829236,0,0,6.6662075624,0,0,0,293.9, -8.6, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,41,Motors_Started,
172700,2024-02-01 19:25:12,40.4290110613434,-86.9292832762683,0,,,622.8585829236,0,0,6.6767718672,0.11294455742,29,5,0,622.8585829236,0,0,6.6767718672,0,0,0,293.9, -8.6, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,41,Motors_Started,
172800,2024-02-01 19:25:12,40.4290110630993,-86.929283297896,0,,,622.8585829236,0,0,6.6812338096,0.118985240028,29,5,0,622.8585829236,0,0,6.6812338096,0,0,0,293.9, -8.6, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,41,Motors_Started,
172900,2024-02-01 19:25:12,40.4290110655124,-86.929283315973,0,,,622.8585829236,0,0,6.685203626,0.124082353052,29,5,0,622.8585829236,0,0,6.685203626,0,0,0,293.9, -8.6, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,300.5,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,41,Motors_Started,
173000,2024-02-01 19:25:12,40.4290111338285,-86.9292832925756,0,,,622.8585829236,0,0,6.699639322,0.149840555976,29,5,0,622.8585829236,0,0,6.699639322,0,0,0,293.9, -8.7, 2.8,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,11,AutoTakeoff,
173100,2024-02-01 19:25:12,40.4290112206231,-86.9292832640998,0,,,622.8585829236,0,0,6.7183073016,0.182479992716,29,5,0,622.8585829236,0,0,6.7183073016,0,0,0,293.9, -8.7, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,300.5,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,11,AutoTakeoff,
173200,2024-02-01 19:25:12,40.42901125335,-86.9292832946464,0,,,622.8585829236,0,0,6.7329070396,0.197127302896,29,5,0,622.8585829236,0,0,6.7329070396,0,0,0,294, -8.5, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,300.5,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,11,AutoTakeoff,
173300,2024-02-01 19:25:12,40.4290112799553,-86.9292833430843,0,,,622.8585829236,0,0,6.7490487724,0.213716542272,29,5,0,622.8585829236,0,0,6.7490487724,0,0,0,294.9, -8.4, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,300.5,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,11,AutoTakeoff,
173400,2024-02-01 19:25:12,40.4290112857949,-86.9292833728599,0,,,622.8585829236,0,0.223694,6.75606977,0.222255912624,29,5,0,622.8585829236,0,0.223694,6.75606977,0.223694,0,0,296.2, -6.8, 3.5,0,0,1024,1024,1024,1024,0,0,0,0,300.6,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,11,AutoTakeoff,
173500,2024-02-01 19:25:12,40.4290114181379,-86.9292833976191,0,,,622.8585829236,0,0.447388,6.7970474616,0.27102855198,29,5,0,622.8585829236,0,0.447388,6.7970474616,0.447388,0,0,297.2, -0.5, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,300.7,0,0,88,4.031,4.023,0,0,0,0,0,81.68,622.8585829236,0,11,AutoTakeoff,
173600,2024-02-01 19:25:12,40.4290116398734,-86.929283382758,0,,,622.8585829236,0,0.671082,6.855807306,0.352034132,29,5,8.037,622.8585829236,0,0.671082,6.855807306,0.671082,0,0,297.5, 2.8, 2,0,0,1024,1024,1024,1024,0,0,0,0,300.8,0,0,88,4.017,4.004,0,0,0,0,2.013,81.68,622.8585829236,0,11,AutoTakeoff,
173700,2024-02-01 19:25:12,40.429011957389,-86.9292832572404,0,,,622.8585829236,0,0.7158208,6.922244316,0.47301182616,29,5,8.037,622.8585829236,0,0.7158208,6.922244316,0.671082,0.223694,-0.223694,297.4, 0.7, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,300.9,0,0,88,4.017,4.004,0,0,0,0,2.013,81.68,622.8585829236,0,11,AutoTakeoff,
173800,2024-02-01 19:25:13,40.4290122740123,-86.9292830004993,0,,,622.8585829236,0,1.006623,6.967191824,0.60876314284,29,5,8.037,622.8585829236,0,1.006623,6.967191824,0.894776,0.447388,-0.671082,297.5, -0.6, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,301.1,0,0,88,4.017,4.004,0,0,0,0,2.013,81.68,622.8585829236,0,11,AutoTakeoff,
173900,2024-02-01 19:25:13,40.4290127142751,-86.9292827015496,0,,,622.8585829236,0,1.2079476,7.0432416952,0.7895833586,29,5,8.037,622.8585829236,0,1.2079476,7.0432416952,1.11847,0.447388,-1.342164,297.6, -1.7, -5.1,0,0,1024,1024,1024,1024,0,0,0,0,301.2,0,0,88,4.017,4.004,0,0,0,0,2.013,81.68,622.8585829236,0,11,AutoTakeoff,
174000,2024-02-01 19:25:13,40.4290131479892,-86.9292824754845,0.328084,,,623.1866669236,0.984252,0.9171454,7.133038286,0.95982286536,29,5,8.037,623.1866669236,0.328084,1.2079476,7.133038286,0.894776,0.223694,-1.789552,297.7, -0.7, -7.6,0,0,1024,1024,1024,1024,0,0,0,0,301.3,0,0,88,4.017,4.004,0,0,0,0,2.013,81.68,623.1866669236,0.328084,11,AutoTakeoff,
174100,2024-02-01 19:25:13,40.4290135549365,-86.9292823108953,0.656168,,,623.5147509236,1.312336,0.9171454,7.2274608612,1.1151739202,29,5,8.037,623.5147509236,0.656168,1.2079476,7.2274608612,0.894776,0.223694,-2.23694,297.6, 0, -7.7,0,0,1024,1024,1024,1024,0,0,0,0,301.5,0,0,88,4.017,4.004,0,0,0,0,2.013,81.68,623.5147509236,0.656168,11,AutoTakeoff,
174200,2024-02-01 19:25:13,40.4290139678387,-86.9292820666773,0.984252,,,623.8428349236,1.64042,0.671082,7.3134188692,1.28038718008,29,5,8.037,623.8428349236,0.984252,1.2079476,7.3134188692,0.671082,0,-2.460634,297.4, 1.1, -7.3,0,0,1024,1024,1024,1024,0,0,0,0,301.6,0,0,88,4.017,4.004,0,0,0,0,2.013,81.68,623.8428349236,0.984252,11,AutoTakeoff,
174300,2024-02-01 19:25:13,40.4290142735188,-86.9292819233528,1.312336,,,624.1709189236,1.968504,0.447388,7.3844818636,1.39880581904,29,5,8.037,624.1709189236,1.312336,1.2079476,7.3844818636,0.447388,0,-2.460634,297.4, 1.7, -6.2,0,0,1024,1024,1093,1024,0,0,10,0,301.7,0,0,88,4.017,4.004,0,0,0,0,2.013,81.68,624.1709189236,1.312336,11,AutoTakeoff,
174400,2024-02-01 19:25:13,40.4290145373597,-86.9292818229405,1.312336,,,624.1709189236,2.296588,0.447388,7.4502627056,1.49902563852,29,5,8.037,624.1709189236,1.312336,1.2079476,7.4502627056,0.447388,0,-2.460634,297.4, 1.5, -5.7,0,0,1024,1024,1324,1024,0,0,45,0,301.7,0,0,88,4.017,4.004,0,0,0,0,2.013,81.68,624.1709189236,1.312336,11,AutoTakeoff,
174500,2024-02-01 19:25:13,40.4290147910823,-86.9292817234791,1.64042,,,624.4990029236,2.624672,0.447388,7.5138125764,1.59562997232,29,5,8.037,624.4990029236,1.64042,1.2079476,7.5138125764,0.447388,0,-2.460634,297.4, 1, -5.2,0,0,1024,1024,1324,1024,0,0,45,0,301.8,0,0,88,4.017,4.004,0,0,0,0,2.013,81.68,624.4990029236,1.64042,11,AutoTakeoff,
174600,2024-02-01 19:25:13,40.4290149785268,-86.9292817318859,1.968504,,,624.8270869236,2.952756,0.447388,7.5731301636,1.6640584522,28,5,8.037,624.8270869236,1.968504,1.2079476,7.5731301636,0.447388,0,-2.23694,297.5, 0.9, -5,0,0,1024,1024,1378,1024,0,0,54,0,301.8,0,0,88,4.017,4.004,0,0,0,0,2.013,81.68,624.8270869236,1.968504,6,P-GPS,
174700,2024-02-01 19:25:14,40.42901516297,-86.9292819484778,2.296588,,,625.1551709236,3.28084,0.4921268,7.6620409276,1.75431764144,28,5,8.037,625.1551709236,2.296588,1.2079476,7.6620409276,0.447388,0.223694,-2.23694,297.3, 0.8, -4.9,0,0,1024,1024,1471,1024,0,0,68,0,301.8,0,0,88,4.017,4.004,0,0,0,0,2.013,81.68,625.1551709236,2.296588,6,P-GPS,
