time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
432300,2024-02-04 17:20:18,40.4290044167779,-86.9292986266208,0,Available with any HD 360 subscription,Available with any HD 360 subscription,622.85853305483,0,0,0,0,29,5,0,622.85853305483,0,0,0,0,0,0,278.1, -6, 2.6,0,0,1024,1024,1024,1024,0,0,0,0,275.7,0,0,76,3.939,3.94,0,0,0,0,0,70.7,622.85853305483,0,41,Motors_Started,"Gimbal stuck Gimbal stuck. Check whether gimbal cover is removed and make sure gimbal can rotate freely on all three axes (Code: 40028). Remote ID functionality normal (Code: 30331)"
432400,2024-02-04 17:20:18,40.4290044223439,-86.9292986676098,0,,,622.85853305483,0,0,0.011563484622,0.011563484622,29,5,0,622.85853305483,0,0,0.011563484622,0,0,0,278.2, -5.9, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,275.7,0,0,76,3.939,3.94,0,0,0,0,0,70.7,622.85853305483,0,41,Motors_Started,
432500,2024-02-04 17:20:18,40.4290044855259,-86.9292987349954,0,,,622.85853305483,0,0,0.03917979128,0.041255906832,29,5,0,622.85853305483,0,0,0.03917979128,0,0,0,278, -5.9, 2.8,0,0,1024,1024,1024,1024,0,0,0,0,275.7,0,0,76,3.939,3.94,0,0,0,0,0,70.7,622.85853305483,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 3. Setting new Maximum Flight Altitude to 120m (394 ft) Aircraft in Warning Zone (Class D Airspace). Fly with caution"
432600,2024-02-04 17:20:18,40.4290045182022,-86.9292987457193,0,,,622.85853305483,0,0,6.7485894548,0.053544293052,29,5,0,622.85853305483,0,0,6.7485894548,0,0,0,277.7, -5.8, 2.4,0,0,1024,1024,1024,1024,0,0,0,0,275.7,0,0,76,3.939,3.94,0,0,0,0,0,70.7,622.85853305483,0,41,Motors_Started,
432700,2024-02-04 17:20:18,40.4290045342196,-86.9292987419927,0,,,622.85853305483,0,0,6.747211502,0.059479004528,29,5,0,622.85853305483,0,0,6.7485894548,0,0,0,277.6, -5.9, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,275.7,0,0,76,3.939,3.94,0,0,0,0,0,70.7,622.85853305483,0,41,Motors_Started,
432800,2024-02-04 17:20:18,40.4290045399827,-86.9292987529824,0,,,622.85853305483,0,0,6.7501314496,0.063185369476,29,5,7.88,622.85853305483,0,0,6.7501314496,0,0,0,277.5, -5.9, 2.6,0,0,1024,1024,1024,1024,0,0,0,0,275.7,0,0,76,3.939,3.94,0,0,0,0,0.707,70.7,622.85853305483,0,41,Motors_Started,
432900,2024-02-04 17:20:18,40.4290044849771,-86.9292988123002,0,,,622.85853305483,0,0,6.7677495604,0.089149609152,29,5,7.88,622.85853305483,0,0,6.7677495604,0,0,0,277.5, -5.9, 2.6,0,0,1024,1024,1024,1024,0,0,0,0,275.7,0,0,76,3.939,3.94,0,0,0,0,0.707,70.7,622.85853305483,0,41,Motors_Started,
433000,2024-02-04 17:20:18,40.4290044910626,-86.9292988520935,0,,,622.85853305483,0,0,6.7786419492,0.100422247308,29,5,7.88,622.85853305483,0,0,6.7786419492,0,0,0,277.5, -5.9, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,275.7,0,0,76,3.939,3.94,0,0,0,0,0.707,70.7,622.85853305483,0,41,Motors_Started,
433100,2024-02-04 17:20:18,40.4290045336057,-86.9292988670235,0,,,622.85853305483,0,0,6.7818899808,0.116488520788,29,5,7.88,622.85853305483,0,0,6.7818899808,0,0,0,277.5, -5.9, 2.8,0,0,1024,1024,1024,1024,0,0,0,0,275.6,0,0,76,3.939,3.94,0,0,0,0,0.707,70.7,622.85853305483,0,41,Motors_Started,
433200,2024-02-04 17:20:19,40.4290045702669,-86.9292988771424,0,,,622.85853305483,0,0,6.78395691,0.130156172144,29,5,7.88,622.85853305483,0,0,6.78395691,0,0,0,277.5, -6, 2.8,0,0,1024,1024,1024,1024,0,0,0,0,275.6,0,0,76,3.939,3.94,0,0,0,0,0.707,70.7,622.85853305483,0,41,Motors_Started,
