time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2024-02-01 19:16:28,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,622.86143659823,0.656168,0,0,0,0,0,0,622.86143659823,0,0,0,0,0,0,254.6, -13.6, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,254.9,0,0,99,4.062,4.067,0,0,0,0,0,71.78,622.86143659823,0,41,Motors_Started,
100,2024-02-01 19:16:28,0,0,0,,,622.86143659823,0.656168,0,0,0,0,0,0,622.86143659823,0,0,0,0,0,0,254.6, -13.7, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,254.8,0,0,99,4.062,4.067,0,0,0,0,0,71.78,622.86143659823,0,41,Motors_Started,"Gimbal stuck Gimbal stuck. Check whether gimbal cover is removed and make sure gimbal can rotate freely on all three axes (Code: 40028). GPS signal weak. Hovering unstable. Fly with caution (Code: 30002). Remote ID functionality normal (Code: 30331)"
200,2024-02-01 19:16:28,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,0,622.86143659823,0,0,0,0,0,0,254.7, -13.7, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,254.8,0,0,99,4.062,4.067,0,0,0,0,0,71.78,622.86143659823,0,41,Motors_Started,
300,2024-02-01 19:16:28,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,0,622.86143659823,0,0,0,0,0,0,254.9, -13.7, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,254.8,0,0,99,4.062,4.067,0,0,0,0,0,71.78,622.86143659823,0,41,Motors_Started,"Aircraft in Warning Zone (Class D Airspace). Fly with caution"
400,2024-02-01 19:16:28,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,0,622.86143659823,0,0,0,0,0,0,254.7, -13.7, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,254.9,0,0,99,4.062,4.067,0,0,0,0,0,71.78,622.86143659823,0,41,Motors_Started,
500,2024-02-01 19:16:28,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,0,622.86143659823,0,0,0,0,0,0,254.8, -13.7, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,254.9,0,0,99,4.062,4.067,0,0,0,0,0,71.78,622.86143659823,0,41,Motors_Started,
600,2024-02-01 19:16:29,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,0,622.86143659823,0,0,0,0,0,0,254.8, -13.7, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,254.9,0,0,99,4.062,4.067,0,0,0,0,0,71.78,622.86143659823,0,41,Motors_Started,
700,2024-02-01 19:16:29,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,0,622.86143659823,0,0,0,0,0,0,254.8, -13.7, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,254.9,0,0,99,4.062,4.067,0,0,0,0,0,71.78,622.86143659823,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 2. Setting new Maximum Flight Altitude to 30m (98 ft)"
800,2024-02-01 19:16:29,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,0,622.86143659823,0,0,0,0,0,0,254.8, -13.7, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,254.9,0,0,99,4.062,4.067,0,0,0,0,0,71.78,622.86143659823,0,41,Motors_Started,
900,2024-02-01 19:16:29,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,0,622.86143659823,0,0,0,0,0,0,254.8, -13.7, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,254.9,0,0,99,4.062,4.067,0,0,0,0,0,71.78,622.86143659823,0,41,Motors_Started,
1000,2024-02-01 19:16:29,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,0,622.86143659823,0,0,0,0,0,0,254.9, -13.7, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,254.9,0,0,99,4.062,4.067,0,0,0,0,0,71.78,622.86143659823,0,41,Motors_Started,
1100,2024-02-01 19:16:29,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,8.259,622.86143659823,0,0,0,0,0,0,254.9, -13.8, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,254.9,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,622.86143659823,0,11,AutoTakeoff,
1200,2024-02-01 19:16:29,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,8.259,622.86143659823,0,0,0,0,0,0,254.8, -13.6, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,254.9,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,622.86143659823,0,11,AutoTakeoff,
1300,2024-02-01 19:16:29,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,8.259,622.86143659823,0,0,0,0,0,0,255.1, -13.4, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,254.9,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,622.86143659823,0,11,AutoTakeoff,
1400,2024-02-01 19:16:29,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,8.259,622.86143659823,0,0,0,0,0,0,255.7, -11.9, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,254.9,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,622.86143659823,0,11,AutoTakeoff,
1500,2024-02-01 19:16:29,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,8.259,622.86143659823,0,0,0,0,0,0,256.1, -5.1, 1.9,0,0,1024,1024,1024,1024,0,0,0,0,255,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,622.86143659823,0,11,AutoTakeoff,
1600,2024-02-01 19:16:30,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,8.259,622.86143659823,0,0,0,0,0,0,256.3, 2.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,255,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,622.86143659823,0,11,AutoTakeoff,
1700,2024-02-01 19:16:30,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,8.259,622.86143659823,0,0,0,0,0,-0.223694,256.2, 2.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,255.1,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,622.86143659823,0,11,AutoTakeoff,
1800,2024-02-01 19:16:30,0,0,0,,,622.86143659823,0.328084,0,0,0,0,0,8.259,622.86143659823,0,0,0,0,0,-0.447388,256.4, 0.5, 0,0,0,1024,1024,1024,1024,0,0,0,0,255.1,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,622.86143659823,0,11,AutoTakeoff,
1900,2024-02-01 19:16:30,0,0,0.328084,,,623.18952059823,0.656168,0,0,0,0,0,8.259,623.18952059823,0.328084,0,0,0,0,-1.11847,256.3, -0.1, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,255.1,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,623.18952059823,0.328084,11,AutoTakeoff,
2000,2024-02-01 19:16:30,0,0,0.328084,,,623.18952059823,0.656168,0,0,0,0,0,8.259,623.18952059823,0.328084,0,0,0,0,-1.565858,256.4, -0.9, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,255.2,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,623.18952059823,0.328084,11,AutoTakeoff,
2100,2024-02-01 19:16:30,0,0,0.656168,,,623.51760459823,0.984252,0,0,0,0,0,8.259,623.51760459823,0.656168,0,0,0,0,-2.013246,256.3, -1.4, -2.9,0,0,1024,1024,1024,1024,0,0,0,0,255.2,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,623.51760459823,0.656168,11,AutoTakeoff,
2200,2024-02-01 19:16:30,0,0,0.984252,,,623.84568859823,0.984252,0,0,0,0,0,8.259,623.84568859823,0.984252,0,0,0,0,-2.23694,256.3, -2.8, -1.9,0,0,1024,1024,1024,1024,0,0,0,0,255.2,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,623.84568859823,0.984252,11,AutoTakeoff,
2300,2024-02-01 19:16:30,0,0,1.312336,,,624.17377259823,0.984252,0,0,0,0,0,8.259,624.17377259823,1.312336,0,0,0,0,-2.460634,256.4, -3, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,255.3,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,624.17377259823,1.312336,11,AutoTakeoff,
2400,2024-02-01 19:16:30,0,0,1.64042,,,624.50185659823,1.312336,0,0,0,0,0,8.259,624.50185659823,1.64042,0,0,0,0,-2.460634,256.4, -3.9, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,255.3,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,624.50185659823,1.64042,11,AutoTakeoff,
2500,2024-02-01 19:16:30,0,0,1.968504,,,624.82994059823,1.64042,0,0,0,9,0,8.259,624.82994059823,1.968504,0,0,0,0,-2.460634,256.3, -4, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,255.3,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,624.82994059823,1.968504,11,AutoTakeoff,
2600,2024-02-01 19:16:31,0,0,2.296588,,,625.15802459823,1.968504,0,0,0,10,0,8.259,625.15802459823,2.296588,0,0,0,0,-2.460634,256.3, -4.8, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,255.4,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,625.15802459823,2.296588,11,AutoTakeoff,
2700,2024-02-01 19:16:31,0,0,2.624672,,,625.48610859823,2.296588,0,0,0,10,0,8.259,625.48610859823,2.624672,0,0,0,0,-2.23694,256.3, -6, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,255.4,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,625.48610859823,2.624672,11,AutoTakeoff,
2800,2024-02-01 19:16:31,0,0,2.952756,,,625.81419259823,2.296588,0.4921268,0,0,10,0,8.259,625.81419259823,2.952756,0.4921268,0,0.223694,0.447388,-2.23694,256.3, -7.3, 0.4,0,0,1024,1024,1338,1024,0,0,48,0,255.4,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,625.81419259823,2.952756,6,P-GPS,
2900,2024-02-01 19:16:31,0,0,2.952756,,,625.81419259823,0.656168,0.4921268,0,0,10,0,8.259,625.81419259823,2.952756,0.4921268,0,0.223694,0.447388,-1.789552,256.3, -7.7, 0,0,0,1024,1024,1206,1024,0,0,28,0,255.4,0,0,99,4.062,4.067,0,0,0,0,0.735,71.78,625.81419259823,2.952756,6,P-GPS,"Gimbal stuck. Check whether gimbal cover is removed and make sure gimbal can rotate freely on all three axes (Code: 40028). GPS signal weak. Hovering unstable. Fly with caution (Code: 30002)"
3000,2024-02-01 19:16:31,0,0,3.28084,,,626.14227659823,0.656168,0.7158208,0,0,10,0,7.976,626.14227659823,3.28084,0.7158208,0,0.223694,0.671082,-1.565858,256.1, -8, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,626.14227659823,3.28084,6,P-GPS,
3100,2024-02-01 19:16:31,0,0,3.28084,,,626.14227659823,0.656168,0.7158208,0,0,10,0,7.976,626.14227659823,3.28084,0.7158208,0,0.223694,0.671082,-1.342164,255.9, -8.2, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,626.14227659823,3.28084,6,P-GPS,
3200,2024-02-01 19:16:31,0,0,3.608924,,,626.47036059823,0.656168,0.8052984,0,0,10,0,7.976,626.47036059823,3.608924,0.8052984,0,0.447388,0.671082,-1.11847,255.7, -8.9, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,626.47036059823,3.608924,6,P-GPS,
3300,2024-02-01 19:16:31,0,0,3.937008,,,626.79844459823,0.656168,0.8052984,0,0,10,0,7.976,626.79844459823,3.937008,0.8052984,0,0.447388,0.671082,-1.11847,255.5, -8.3, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,626.79844459823,3.937008,6,P-GPS,
3400,2024-02-01 19:16:31,0,0,3.937008,,,626.79844459823,0.656168,0.4921268,0,0,10,0,7.976,626.79844459823,3.937008,0.8052984,0,0.223694,0.447388,-1.11847,255.4, -7.8, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,626.79844459823,3.937008,6,P-GPS,
3500,2024-02-01 19:16:31,0,0,4.265092,,,627.12652859823,0.984252,0.4921268,0,0,10,0,7.976,627.12652859823,4.265092,0.8052984,0,0.223694,0.447388,-1.11847,255.4, -7.2, 0.1,0,0,1024,1024,1270,1024,0,0,37,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,627.12652859823,4.265092,6,P-GPS,
3600,2024-02-01 19:16:31,0,0,4.265092,,,627.12652859823,0.984252,0.4921268,0,0,10,0,7.976,627.12652859823,4.265092,0.8052984,0,0,0.447388,-1.11847,255.4, -7.5, -0.1,0,0,1024,1024,1308,1024,0,0,43,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,627.12652859823,4.265092,6,P-GPS,
3700,2024-02-01 19:16:32,0,0,4.265092,,,627.12652859823,0.984252,0.447388,0,0,10,0,7.976,627.12652859823,4.265092,0.8052984,0,0,0.447388,-1.11847,255.5, -7.8, 0,0,0,1024,1024,1223,1024,0,0,30,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,627.12652859823,4.265092,6,P-GPS,
3800,2024-02-01 19:16:32,0,0,4.593176,,,627.45461259823,0.984252,0.447388,0,0,10,2,7.976,627.45461259823,4.593176,0.8052984,0,0,0.447388,-1.11847,255.4, -7.3, -0.2,0,0,1024,1024,1207,1024,0,0,28,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,627.45461259823,4.593176,6,P-GPS,
3900,2024-02-01 19:16:32,0,0,4.593176,,,627.45461259823,0.984252,0.447388,0,0,10,2,7.976,627.45461259823,4.593176,0.8052984,0,0,0.447388,-0.894776,255.5, -7.3, 0.3,0,0,1024,1024,1123,1024,0,0,15,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,627.45461259823,4.593176,6,P-GPS,
4000,2024-02-01 19:16:32,0,0,4.92126,,,627.78269659823,0.984252,0.447388,0,0,10,2,7.976,627.78269659823,4.92126,0.8052984,0,0,0.447388,-0.671082,255.4, -7.3, 0.1,0,0,1024,1024,1111,1024,0,0,13,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,627.78269659823,4.92126,6,P-GPS,
4100,2024-02-01 19:16:32,0,0,4.92126,,,627.78269659823,0.656168,0.447388,0,0,10,2,7.976,627.78269659823,4.92126,0.8052984,0,0,0.447388,-0.447388,255.5, -7, 0.1,0,0,1024,1024,1271,1024,0,0,37,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,627.78269659823,4.92126,6,P-GPS,
4200,2024-02-01 19:16:32,0,0,4.92126,,,627.78269659823,0.656168,0.447388,0,0,10,2,7.976,627.78269659823,4.92126,0.8052984,0,0,0.447388,-0.223694,255.5, -7.1, -0.1,0,0,1024,1024,1271,1024,0,0,37,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,627.78269659823,4.92126,6,P-GPS,
4300,2024-02-01 19:16:32,0,0,4.92126,,,627.78269659823,0.656168,0.223694,0,0,10,2,7.976,627.78269659823,4.92126,0.8052984,0,0,0.223694,-0.223694,255.6, -7, -0.1,0,0,1024,1024,1273,1024,0,0,38,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,627.78269659823,4.92126,6,P-GPS,
4400,2024-02-01 19:16:32,0,0,5.249344,,,628.11078059823,0.656168,0.223694,0,0,10,2,7.976,628.11078059823,5.249344,0.8052984,0,0,0.223694,-0.447388,255.7, -6.4, 0,0,0,1024,1024,1143,1024,0,0,18,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,628.11078059823,5.249344,6,P-GPS,
4500,2024-02-01 19:16:32,0,0,5.249344,,,628.11078059823,0.656168,0.223694,0,0,10,2,7.976,628.11078059823,5.249344,0.8052984,0,0,0.223694,-0.447388,255.6, -5.7, -0.8,0,0,1024,1024,1368,1024,0,0,52,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,628.11078059823,5.249344,6,P-GPS,
4600,2024-02-01 19:16:33,0,0,5.249344,,,628.11078059823,0.656168,0.223694,0,0,10,2,7.976,628.11078059823,5.249344,0.8052984,0,0,0.223694,-0.447388,255.5, -6.1, -0.4,0,0,1024,1024,1260,1024,0,0,36,0,255.4,0,0,99,4.009,4.017,0,0,0,0,4.023,71.78,628.11078059823,5.249344,6,P-GPS,
