time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
42300,2024-02-01 19:22:21,40.4289967114725,-86.9292678534929,0,Available with any HD 360 subscription,Available with any HD 360 subscription,622.8585829236,0.328084,0,0,0,29,5,0,622.8585829236,0,0,0,0,0,0,174.3, -9.5, 7.4,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,41,Motors_Started,"Gimbal stuck Gimbal stuck. Check whether gimbal cover is removed and make sure gimbal can rotate freely on all three axes (Code: 40028). Remote ID functionality normal (Code: 30331)"
42400,2024-02-01 19:22:21,40.4289967051232,-86.9292678627058,0,,,622.8585829236,0.328084,0,0.0034515421052,0.0034515421052,29,5,0,622.8585829236,0,0,0.0034515421052,0,0,0,174.3, -9.5, 7.4,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,41,Motors_Started,
42500,2024-02-01 19:22:21,40.4289967218359,-86.9292678703537,0,,,622.8585829236,0.328084,0,0.0060186681716,0.0099085305008,29,5,0,622.8585829236,0,0,0.0060186681716,0,0,0,174.3, -9.5, 7.3,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,41,Motors_Started,"Aircraft in Warning Zone (Class D Airspace). Fly with caution"
42600,2024-02-01 19:22:21,40.4289967650214,-86.9292678777899,0,,,622.8585829236,0.328084,0,0.0206698169344,0.0257995086996,29,5,0,622.8585829236,0,0,0.0206698169344,0,0,0,174.3, -9.5, 7.3,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,41,Motors_Started,
42700,2024-02-01 19:22:22,40.4289967897233,-86.929267886336,0,,,622.8585829236,0.328084,0,0.029971457652,0.035119423696,29,5,0,622.8585829236,0,0,0.029971457652,0,0,0,174.2, -9.5, 7.4,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,41,Motors_Started,
42800,2024-02-01 19:22:22,40.4289968257779,-86.9292678996258,0,,,622.8585829236,0.328084,0,0.043627954152,0.048781825708,29,5,0,622.8585829236,0,0,0.043627954152,0,0,0,174.2, -9.5, 7.4,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,41,Motors_Started,
42900,2024-02-01 19:22:22,40.42899685423,-86.9292678781381,0,,,622.8585829236,0.328084,0,0.05253281008,0.060755579372,29,5,0,622.8585829236,0,0,0.05253281008,0,0,0,174.2, -9.5, 7.4,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,41,Motors_Started,
43000,2024-02-01 19:22:22,40.4289969016324,-86.9292678307715,0,,,622.8585829236,0.328084,0,0.069666012728,0.082484910776,29,5,0,622.8585829236,0,0,0.069666012728,0,0,0,174.2, -9.5, 7.4,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 2. Setting new Maximum Flight Altitude to 120m (394 ft)"
43100,2024-02-01 19:22:22,40.4289969295032,-86.929267799997,0,,,622.8585829236,0.328084,0,0.080923887104,0.095768375768,29,5,0,622.8585829236,0,0,0.080923887104,0,0,0,174.2, -9.5, 7.4,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,41,Motors_Started,
43200,2024-02-01 19:22:22,40.4289969499834,-86.9292677050759,0,,,622.8585829236,0.328084,0,0.09628937316,0.123168967196,29,5,0,622.8585829236,0,0,0.09628937316,0,0,0,174.2, -9.5, 7.4,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,41,Motors_Started,
43300,2024-02-01 19:22:22,40.4289969489444,-86.9292677018143,0,,,622.8585829236,0.328084,0,0.096339570012,0.124150922608,29,5,0,622.8585829236,0,0,0.096339570012,0,0,0,174.2, -9.5, 7.4,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,41,Motors_Started,
43400,2024-02-01 19:22:22,40.4289969402184,-86.9292677063814,0,,,622.8585829236,0.328084,0,0.092921918984,0.127578088072,29,5,0,622.8585829236,0,0,0.096339570012,0,0,0,174.2, -9.5, 7.4,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,41,Motors_Started,
43500,2024-02-01 19:22:22,40.4289969552628,-86.9292677137142,0,,,622.8585829236,0.328084,0,0.097049215704,0.133432747052,29,5,0,622.8585829236,0,0,0.097049215704,0,0,0,174.1, -9.2, 7.2,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,11,AutoTakeoff,
43600,2024-02-01 19:22:23,40.42899701041,-86.9292677549325,0,,,622.8585829236,0.328084,0,0.112449806748,0.156581697924,29,5,0,622.8585829236,0,0,0.112449806748,0,0,0,173.9, -8.6, 6.3,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,11,AutoTakeoff,
43700,2024-02-01 19:22:23,40.4289970304537,-86.9292677614234,0,,,622.8585829236,0.328084,0,0.119156171792,0.164113522312,29,5,0,622.8585829236,0,0,0.119156171792,0,0,0,174, -8.3, 3.7,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,11,AutoTakeoff,
43800,2024-02-01 19:22:23,40.4289970231306,-86.9292677453468,0,,,622.8585829236,0.328084,0,0.11760827148,0.169316606468,29,5,0,622.8585829236,0,0,0.119156171792,0,0,0,173.7, -4.5, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,179.4,-0.5,0,94,4.046,4.035,0,0,0,0,0,76.64,622.8585829236,0,11,AutoTakeoff,
