UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.001273,56.62946,19.16385,3561.085,2809.165,1850.231,1169,10,-7.007379
3.001729,56.80644,19.1725,3559.539,2813.498,1840.649,1169,10,1.544706
4.003051,56.98257,19.18498,3557.311,2817.164,1830.706,1169,10,2.225817
5.004492,57.15863,19.19764,3555.052,2820.767,1820.744,1169,9.999999,2.25505
6.005679,57.30779,19.22887,3549.498,2820.547,1810.218,1169,10,5.547613
7.006048,57.44479,19.26576,3542.957,2819.028,1799.74,1169,10,6.538846
8.006442,57.58187,19.28523,3536.022,2817.464,1789.268,1167.846,10.07483,6.932333
9.007833,57.71965,19.27708,3528.504,2815.9,1778.786,1164.89,10.00739,7.507124
10.00874,57.86552,19.35953,3523.779,2815.222,1768.347,1168.114,10.10442,4.720836
11.00941,57.99397,19.40581,3518.448,2814.115,1758.866,1169.028,10.01391,5.327698
12.01089,58.11237,19.38357,3509.588,2811.031,1748.871,1164.799,10.50042,8.847002
13.01125,58.25189,19.3898,3502.435,2809.437,1738.404,1162.784,10.0678,7.150031
14.01231,58.39244,19.41563,3495.745,2807.873,1727.925,1162.051,10.00902,6.68264
15.01311,58.53354,19.44869,3489.233,2806.309,1717.449,1161.784,10.0012,6.507457
16.01449,58.6753,19.48442,3482.792,2804.744,1706.967,1161.687,10.00016,6.431342
17.01526,58.81757,19.52109,3476.397,2803.18,1696.492,1161.652,10.00002,6.390047
18.01554,58.96035,19.55813,3470.034,2801.617,1686.021,1161.639,10,6.362036
19.01587,59.10373,19.5953,3463.693,2800.054,1675.55,1161.634,10,6.338954
20.01643,59.24774,19.63259,3457.373,2798.491,1665.077,1161.634,10,6.316324
21.01701,59.39234,19.66991,3451.074,2796.928,1654.603,1161.634,9.999999,6.295376
22.02278,59.53828,19.70743,3444.763,2795.356,1644.075,1161.634,9.999999,6.274342
23.02313,59.68405,19.74477,3438.508,2793.793,1633.604,1161.634,9.999999,6.253185
24.02408,59.8305,19.78215,3432.27,2792.229,1623.127,1161.634,9.999999,6.231883
25.02427,59.97744,19.81952,3426.058,2790.667,1612.657,1161.634,9.999999,6.210502
26.02511,60.12508,19.85693,3419.864,2789.103,1602.181,1161.634,9.999999,6.189137
27.02527,60.27322,19.89431,3413.696,2787.54,1591.712,1161.634,9.999999,6.167231
28.02604,60.42206,19.93174,3407.545,2785.976,1581.236,1161.634,9.999999,6.146118
