UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity,UUID
2.002661,307.6964,6.331189,425.2992,-334.4704,258.475,46.9,20.0,15.48805,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
3.004937,309.7513,6.563993,410.2767,-313.3644,260.634,46.9,20.0,14.98835,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
4.006757,311.9937,6.800283,396.0848,-292.3063,263.136,46.9,20.0,14.16613,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
5.007649,314.4092,7.040437,382.6383,-271.2806,265.743,46.9,20.0,13.43446,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
6.009439,317.002,7.283838,369.9168,-250.2376,268.3654,46.9,20.0,12.6988,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
7.010492,319.7779,7.526786,358.0436,-229.2152,271.0277,46.9,20.0,11.86069,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
8.012199,322.7744,7.758914,347.3943,-208.2341,274.0835,46.9,20.0,10.63117,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
9.013636,326.019,7.962302,338.5758,-187.4121,278.048,46.9,20.0,8.805825,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
10.01471,329.5259,8.102393,332.76,-167.074,283.9294,46.9,20.0,5.809621,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
11.01587,333.2067,8.14259,331.1284,-147.7589,292.5982,46.9,20.0,1.629673,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
12.01742,336.8533,8.068303,334.1566,-130.0521,304.2162,46.9,20.0,-3.023501,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
13.01794,340.2541,7.895805,341.4092,-114.2513,318.288,46.9,20.0,-7.248811,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
14.01935,343.3597,7.668181,351.4799,-99.75031,333.749,46.9,20.0,-10.05653,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
15.02069,346.2746,7.432207,362.5728,-85.30437,349.2601,46.9,20.0,-11.07808,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
16.02285,349.0464,7.199827,374.2115,-70.54511,364.4969,46.9,20.0,-11.61361,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
17.02404,351.7553,6.986541,385.5762,-54.88128,378.7578,46.9,20.0,-11.35122,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
18.02498,354.5462,6.817566,395.0869,-37.28476,390.5175,46.9,20.0,-9.50176,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
19.02539,357.4207,6.695037,402.2827,-17.97978,399.1347,46.9,20.0,-7.192888,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
20.02731,0.3560113,6.613074,407.2465,2.513602,404.5291,46.9,20.0,-4.954252,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
21.02753,3.276404,6.543887,411.5307,23.36693,408.1812,46.9,20.0,-4.283226,5531d5a8-4be9-45de-b2d0-20ee7b1ae9a9
22.02826,6.146912,6.46681,416.4174,44.3055,411.3889,46.9,20.0,-4.883136,ab31e74f-bda1-4410-bad4-1ff08d78ba85
23.02968,8.981266,6.389883,421.4102,65.3783,413.6577,46.9,20.0,-4.985812,ab31e74f-bda1-4410-bad4-1ff08d78ba85
24.03631,11.79489,6.313575,426.4789,86.64729,414.942,46.9,20.0,-5.035227,ab31e74f-bda1-4410-bad4-1ff08d78ba85
25.03796,14.5604,6.239636,431.5125,107.8398,415.1795,46.9,20.0,-5.025322,ab31e74f-bda1-4410-bad4-1ff08d78ba85
26.0392,17.34598,6.193814,434.692,128.8429,412.5009,46.9,20.0,-3.175572,ab31e74f-bda1-4410-bad4-1ff08d78ba85
27.03938,20.13924,6.172411,436.1958,149.3128,407.1521,46.9,20.0,-1.503514,ab31e74f-bda1-4410-bad4-1ff08d78ba85
28.04016,22.9367,6.176634,435.8994,168.89,399.1051,46.9,20.0,0.2961265,ab31e74f-bda1-4410-bad4-1ff08d78ba85
29.04068,25.72149,6.212114,433.4177,186.9975,388.1794,46.9,20.0,2.480489,ab31e74f-bda1-4410-bad4-1ff08d78ba85
30.04246,28.50027,6.271948,429.2983,203.6191,375.0155,46.90001,20.0,4.112069,ab31e74f-bda1-4410-bad4-1ff08d78ba85
31.04399,31.28607,6.343596,424.4703,219.0826,360.525,46.9,20.0,4.820608,ab31e74f-bda1-4410-bad4-1ff08d78ba85
32.04408,34.09465,6.420098,419.4335,233.6439,345.16,46.9,20.0,5.036366,ab31e74f-bda1-4410-bad4-1ff08d78ba85
33.0457,36.9531,6.492624,414.7668,247.7425,329.3259,46.9,20.0,4.659148,ab31e74f-bda1-4410-bad4-1ff08d78ba85
34.04723,39.84569,6.565785,410.166,261.0788,312.8488,46.9,20.0,4.593819,ab31e74f-bda1-4410-bad4-1ff08d78ba85
35.04836,42.77626,6.636962,405.7874,273.7385,295.8565,46.9,20.0,4.373559,ab31e74f-bda1-4410-bad4-1ff08d78ba85
36.04884,45.74639,6.703644,401.7684,285.8025,278.4515,46.9,20.0,4.017093,ab31e74f-bda1-4410-bad4-1ff08d78ba85
37.04905,48.75647,6.763875,398.2082,297.3345,260.696,46.9,20.0,3.559452,ab31e74f-bda1-4410-bad4-1ff08d78ba85
38.05061,51.80813,6.816242,395.1625,308.3806,242.6008,46.9,20.0,3.041004,ab31e74f-bda1-4410-bad4-1ff08d78ba85
39.05136,54.88845,6.861356,392.5768,318.8411,224.1813,46.9,20.0,2.583767,ab31e74f-bda1-4410-bad4-1ff08d78ba85
40.05348,57.99527,6.904898,390.1112,328.4166,205.2552,46.9,20.0,2.460377,ab31e74f-bda1-4410-bad4-1ff08d78ba85
41.05395,61.12301,6.940062,388.147,337.394,186.0747,46.9,20.0,1.963251,ab31e74f-bda1-4410-bad4-1ff08d78ba85
42.05473,64.27021,6.970153,386.4767,345.585,166.5402,46.9,20.0,1.669014,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
43.05593,67.43182,7.001434,384.7602,352.6472,146.5631,46.9,20.0,1.714461,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
44.05596,70.60683,7.027637,383.3317,358.8658,126.3285,46.9,20.0,1.428421,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
45.05725,73.79713,7.052464,381.9889,364.0409,105.7834,46.9,20.0,1.341076,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
46.0579,76.99669,7.081139,380.4512,367.8679,84.95138,46.9,20.0,1.5367,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
47.05961,80.21615,7.095724,379.6729,371.2853,64.02431,46.9,20.0,0.7769865,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
48.06067,83.43784,7.091547,379.8945,374.5185,43.08262,46.9,20.0,-0.2213839,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
49.06227,86.6527,7.072934,380.8906,377.3472,22.07024,46.9,20.0,-0.9944678,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
50.06406,89.84169,7.03319,383.0317,380.1481,1.050341,46.90001,20.0,-2.137368,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
51.06596,92.98547,6.972883,386.3267,382.9489,-19.97219,46.9,20.0,-3.288696,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
52.06753,96.06519,6.893668,390.745,385.7487,-40.98768,46.9,20.0,-4.41136,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
53.06838,99.06966,6.799562,396.1261,388.4221,-62.00423,46.9,20.0,-5.376534,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
54.0687,101.9932,6.693983,402.3459,390.8807,-83.0356,46.9,20.0,-6.217859,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
55.0689,104.8296,6.578526,409.3752,393.1339,-104.0875,46.9,20.0,-7.027839,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
56.07021,107.5833,6.456614,417.0724,395.0645,-125.1951,46.9,20.0,-7.687073,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
57.07035,110.2329,6.326883,425.5856,396.8924,-146.287,46.9,20.0,-8.512056,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
58.07062,112.78,6.191534,434.8554,398.5972,-167.3913,46.9,20.0,-9.267337,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
59.07169,115.2639,6.059484,444.2916,399.5509,-188.559,46.9,20.0,-9.426132,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
60.07344,117.7109,5.935807,453.515,399.3463,-209.7588,46.9,20.0,-9.207226,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
61.07524,120.1406,5.823593,462.2221,397.6649,-230.8947,46.9,20.0,-8.691443,2ff8b006-c906-441f-bffa-8ddcd11cdfb2
62.07529,122.5355,5.718957,470.6518,394.8118,-251.8673,46.9,20.0,-8.429284,86fa8a1e-af59-4309-a023-83f29af53e08
63.07574,124.9047,5.621484,478.7862,390.7663,-272.6505,46.9,20.0,-8.130709,86fa8a1e-af59-4309-a023-83f29af53e08
64.07655,127.2632,5.533641,486.3631,385.2743,-293.1096,46.9,20.0,-7.570834,86fa8a1e-af59-4309-a023-83f29af53e08
65.07819,129.5927,5.449782,493.8229,378.8174,-313.3031,46.9,20.0,-7.447612,86fa8a1e-af59-4309-a023-83f29af53e08
66.07919,131.8449,5.35961,502.1067,372.4106,-333.4994,46.9,20.0,-8.275454,86fa8a1e-af59-4309-a023-83f29af53e08
67.08118,134.0044,5.26131,511.4596,366.3358,-353.821,46.9,20.0,-9.33427,86fa8a1e-af59-4309-a023-83f29af53e08
68.08361,135.9853,5.164523,521.0165,360.5549,-373.1738,46.9,19.64642,-9.533776,86fa8a1e-af59-4309-a023-83f29af53e08
69.08412,137.6607,5.078059,529.8627,355.4725,-390.1207,46.9,12.0693,-8.841697,86fa8a1e-af59-4309-a023-83f29af53e08
70.08483,138.3672,5.0403,533.8199,353.2744,-397.4435,46.9,4.395277,-3.954407,86fa8a1e-af59-4309-a023-83f29af53e08
71.08717,138.6219,5.02656,535.2812,352.4737,-400.1108,46.9,1.600628,-1.457884,86fa8a1e-af59-4309-a023-83f29af53e08
72.08852,138.714,5.02153,535.8143,352.1829,-401.0793,46.9,0.5829008,-0.5324261,86fa8a1e-af59-4309-a023-83f29af53e08
73.08913,138.7475,5.019696,536.0086,352.0774,-401.4313,46.9,0.212275,-0.194156,86fa8a1e-af59-4309-a023-83f29af53e08
74.09037,138.7596,5.019032,536.0794,352.0389,-401.5596,46.9,0.07730419,-0.07071345,86fa8a1e-af59-4309-a023-83f29af53e08
75.09288,138.7641,5.018797,536.1051,352.0249,-401.6062,46.9,0.02815186,-0.02563141,86fa8a1e-af59-4309-a023-83f29af53e08
76.0939,139.5525,4.981496,540.1082,349.0724,-409.47,46.9,20.0,-3.999016,86fa8a1e-af59-4309-a023-83f29af53e08
77.09455,141.6118,4.906802,548.3093,339.2446,-428.2015,46.9,20.0,-8.195764,86fa8a1e-af59-4309-a023-83f29af53e08
78.09624,143.712,4.849332,554.7891,327.1736,-445.5881,46.9,20.0,-6.468883,86fa8a1e-af59-4309-a023-83f29af53e08
79.09902,145.8875,4.828847,557.139,311.3453,-459.6394,46.9,20.0,-2.343451,86fa8a1e-af59-4309-a023-83f29af53e08
80.0991,148.0685,4.8391,555.9648,293.0041,-470.1552,46.9,20.0,1.174103,86fa8a1e-af59-4309-a023-83f29af53e08
81.10066,150.2382,4.869006,552.5591,273.2979,-477.9437,46.9,20.0,3.40044,86fa8a1e-af59-4309-a023-83f29af53e08
82.10338,152.3986,4.911591,547.7775,252.8628,-483.6538,46.9,20.0,4.768624,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
83.10899,154.5698,4.960765,542.355,232.0208,-487.9711,46.9,20.0,5.392193,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
84.10962,156.7484,5.012157,536.8201,211.1099,-491.3337,46.9,20.0,5.531513,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
85.11192,158.953,5.064769,531.2543,190.0468,-493.8762,46.9,20.0,5.552992,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
86.11336,161.1882,5.115118,526.0407,168.9521,-495.9581,46.9,20.0,5.206091,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
87.11536,163.4445,5.167367,520.7341,147.7766,-497.1182,46.9,20.0,5.296035,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
88.11723,165.7253,5.220221,515.4693,126.5725,-497.4821,46.9,20.0,5.254953,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
89.11786,168.0541,5.26213,511.3799,105.4033,-498.1967,46.9,20.0,4.086848,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
90.11936,170.4198,5.295204,508.1967,84.21759,-498.9706,46.9,20.0,3.178411,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
91.12042,172.8104,5.319351,505.8976,63.04197,-499.7585,46.9,20.0,2.296614,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
92.12144,175.2188,5.334359,504.4777,41.86703,-500.545,46.9,20.0,1.418503,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
93.12424,177.6408,5.340197,503.9252,20.65356,-501.3127,46.9,20.0,0.5509452,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
94.12481,180.0585,5.336636,504.2621,-0.5125718,-502.0761,46.90001,20.0,-0.3367249,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
95.12596,182.4701,5.323622,505.4879,-21.69125,-502.8399,46.9,20.0,-1.224416,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
96.12685,184.865,5.301491,507.5957,-42.86407,-503.6035,46.9,20.0,-2.105936,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
97.12685,187.2338,5.270464,510.5717,-64.01831,-504.3665,46.9,20.0,-2.975978,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
98.13065,189.5798,5.231019,514.4185,-85.25331,-505.1323,46.9,20.0,-3.832141,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
99.13154,191.8802,5.183759,519.0924,-106.4265,-505.8959,46.9,20.0,-4.669808,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
100.133,194.137,5.129309,524.5845,-127.6124,-506.66,46.9,20.0,-5.483898,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
101.1337,196.3415,5.06852,530.8613,-148.7804,-507.4234,46.9,20.0,-6.272704,5fafe5c3-b6b1-4236-96c7-530ca6f34e05
102.1359,198.4944,5.001866,537.9114,-169.982,-508.1881,46.9,20.0,-7.034245,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
103.1368,200.5855,4.930541,545.6846,-191.155,-508.9517,46.9,20.0,-7.766264,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
104.1369,202.6132,4.854984,554.1523,-212.3113,-509.7148,46.9,20.0,-8.466796,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
105.1377,204.5783,4.77594,563.295,-233.4816,-510.4783,46.9,20.0,-9.135703,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
106.1382,206.4776,4.694275,573.0725,-254.6459,-511.2416,46.9,20.0,-9.772696,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
107.1392,208.3117,4.610487,583.4609,-275.8217,-512.0052,46.9,20.0,-10.37805,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
108.1396,210.0786,4.525411,594.417,-296.9855,-512.7685,46.9,20.0,-10.95143,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
109.1404,211.78,4.439326,605.9189,-318.1556,-513.532,46.9,20.0,-11.49357,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
110.1411,213.4163,4.352847,617.9332,-339.3257,-514.2955,46.9,20.0,-12.00563,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
111.1419,214.9889,4.266363,630.4324,-360.4989,-515.0591,46.9,20.0,-12.48829,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
112.1467,216.5045,4.179967,643.4376,-381.7542,-515.8256,46.9,20.0,-12.94374,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
113.1473,217.953,4.094717,656.8181,-402.922,-516.5891,46.9,20.0,-13.3723,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
114.1475,219.3419,4.010392,670.5944,-424.0801,-517.3521,46.9,20.0,-13.77408,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
115.1484,220.6749,3.927302,684.76,-445.2557,-518.1158,46.9,20.0,-14.15176,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
