UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.001665,218.0287,4.310616,623.9747,-383.3164,-490.1157,46.9,10,-10.52781
3.002025,217.9179,4.239192,634.4625,-388.8309,-499.1529,46.9,10,-10.48401
4.003652,217.7883,4.170257,644.9365,-394.1353,-508.3314,46.9,10,-10.45692
5.004249,217.6495,4.103699,655.3824,-399.3005,-517.5767,46.9,10,-10.43975
6.005411,217.4761,4.039584,665.7606,-404.0628,-527.0397,46.9,10,-10.36612
7.006403,217.2375,3.978624,675.9542,-408.0482,-536.8531,46.9,10,-10.18349
8.006987,216.9431,3.920615,685.9247,-411.2908,-546.9305,46.9,9.999999,-9.964709
9.007835,216.5976,3.86579,695.6447,-413.7938,-557.2222,46.9,10,-9.711659
10.00956,216.2175,3.813516,705.1563,-415.7202,-567.6465,46.9,10,-9.495238
11.00982,215.8217,3.763484,714.5237,-417.2837,-578.1166,46.9,10,-9.36499
12.01095,215.1926,3.733395,720.2767,-414.2334,-587.3752,46.9,10,-5.746556
13.01246,214.4091,3.752594,716.5939,-404.0772,-589.9396,46.9,10,3.6773
14.0129,213.6842,3.781961,711.0462,-393.4984,-590.3779,46.9,9.999999,5.545227
15.01492,212.9486,3.811359,705.5692,-382.901,-590.775,46.9,10,5.466027
16.01556,212.2026,3.840481,700.2177,-372.3184,-591.1719,46.9,10,5.348016
17.01604,211.4453,3.869486,694.9872,-361.7374,-591.5688,46.9,10,5.227967
18.01717,210.6761,3.898174,689.8763,-351.1496,-591.966,46.9,10,5.105123
19.01729,209.8963,3.926604,684.8962,-340.5724,-592.3628,46.9,10,4.979485
20.01763,209.1051,3.954631,680.0402,-329.9926,-592.7562,46.9,10,4.854441
21.01982,208.3046,3.982855,675.2233,-319.3899,-593.0574,46.9,10,4.80633
22.02155,207.5019,4.011955,670.3361,-308.7881,-593.1279,46.9,10,4.878831
23.02177,206.6919,4.041087,665.5172,-298.2022,-593.1179,46.9,10,4.817819
24.02854,205.8638,4.069771,660.8263,-287.5471,-593.1344,46.9,10,4.659324
25.02997,205.0257,4.09749,656.3641,-276.9484,-593.2233,46.9,10,4.455766
26.03173,204.1752,4.124596,652.0621,-266.3464,-593.3337,46.9,10,4.294535
27.03329,203.3135,4.1511,647.9124,-255.7463,-593.4515,46.9,9.999999,4.14316
28.03458,202.439,4.176546,643.969,-245.1502,-593.6311,46.9,9.999999,3.938342
29.03506,201.5516,4.200718,640.2724,-234.5649,-593.9095,46.9,10,3.694853
30.03576,200.6541,4.224197,636.7176,-223.9768,-594.1751,46.9,10,3.552293
31.03696,199.7479,4.24727,633.2673,-213.3821,-594.387,46.9,10,3.446189
32.03901,198.8309,4.269437,629.9805,-202.7785,-594.6064,46.9,10,3.280016
33.03932,197.9053,4.290578,626.8902,-192.1942,-594.8555,46.9,10,3.089377
34.04018,196.9695,4.31048,623.9933,-181.605,-595.1367,46.9,9.999999,2.894439
35.04131,196.0238,4.329206,621.3055,-171.0139,-595.4622,46.9,10,2.684692
36.04284,195.0695,4.346724,618.8004,-160.4193,-595.802,46.9,10,2.501316
37.04307,194.1086,4.363049,616.4832,-149.8387,-596.1545,46.9,10,2.316727
38.0449,193.139,4.378375,614.3425,-139.2411,-596.514,46.9,10,2.136765
39.04578,192.1659,4.393246,612.259,-128.6504,-596.75,46.9,10,2.081603
40.04599,191.1867,4.406823,610.3813,-118.0676,-597.014,46.9,10,1.877367
41.04807,190.2021,4.420314,608.5245,-107.4622,-597.1218,46.9,10,1.852894
42.04902,189.2111,4.431466,606.9887,-96.87111,-597.3706,46.9,9.999999,1.534365
43.04988,188.2161,4.441929,605.5662,-86.2796,-597.5505,46.9,10,1.421269
44.05056,187.2161,4.45043,604.404,-75.69151,-597.8088,46.9,10,1.161435
45.05236,186.2121,4.458214,603.3508,-65.09016,-597.9932,46.9,10,1.051333
46.054,185.2055,4.465194,602.4115,-54.48988,-598.1061,46.9,10,0.9377288
47.05581,184.1989,4.473608,601.2834,-43.8912,-597.8425,46.9,9.999999,1.126076
48.06153,183.1892,4.48406,599.8864,-33.27103,-597.124,46.9,10,1.389084
49.0619,182.1838,4.495229,598.4,-22.73182,-596.126,46.9,10,1.485849
50.06327,181.1818,4.509889,596.4534,-12.26338,-594.4802,46.9,10,1.943871
51.06504,180.1817,4.527012,594.2059,-1.878018,-592.3491,46.9,9.999999,2.24359
52.06546,179.1955,4.549284,591.2988,8.27566,-589.3778,46.9,10,2.905811
53.06728,178.2305,4.578725,587.5117,18.08415,-585.3575,46.9,9.999999,3.780221
54.06932,177.2728,4.611337,583.3619,27.66741,-580.8149,46.9,10,4.141389
55.07139,176.3045,4.643761,579.2996,37.21523,-576.1974,46.9,10,4.053936
56.07363,175.3326,4.677218,575.1595,46.64577,-571.3431,46.9,10,4.130831
57.07492,174.3659,4.713348,570.7607,55.84478,-566.0826,46.9,9.999999,4.39306
58.07647,173.402,4.751925,566.1366,64.82654,-560.4539,46.9,10,4.617021
59.07704,172.4342,4.791665,561.4537,73.66508,-554.6207,46.9,10,4.680184
60.07899,171.4593,4.832538,556.7164,82.38484,-548.5857,46.9,10,4.728141
61.08056,170.47,4.872988,552.1072,91.07839,-542.5196,46.9,10,4.601883
62.08294,169.4637,4.912707,547.655,99.77533,-536.4432,46.9,10,4.441653
63.08376,168.441,4.95112,543.417,108.4815,-530.4094,46.9,10,4.234578
64.08643,167.4001,4.988492,539.3576,117.2108,-524.3745,46.9,10,4.048554
65.08647,166.3474,5.024845,535.4636,125.9023,-518.3341,46.9,9.999999,3.893896
66.08662,165.2803,5.060241,531.7283,134.5807,-512.2728,46.9,9.999999,3.734732
67.08775,164.1976,5.09443,528.1658,143.2618,-506.1972,46.9,10,3.558399
68.08989,163.0979,5.126864,524.8348,151.9787,-500.1544,46.9,10,3.323962
69.09293,161.9826,5.157613,521.7196,160.7178,-494.127,46.9,10,3.105738
70.09329,160.8567,5.186442,518.827,169.4435,-488.1299,46.9,10,2.891516
71.09528,159.7171,5.21376,516.1149,178.1736,-482.1091,46.9,10,2.706736
72.09686,158.5665,5.239291,513.6044,186.8978,-476.0872,46.9,10,2.5066
73.09846,157.4048,5.262911,511.3046,195.6243,-470.068,46.9,10,2.29604
74.10036,156.233,5.284795,509.1967,204.3429,-464.0319,46.9,10,2.103971
75.10047,155.0551,5.305076,507.2517,213.0149,-457.9622,46.9,10,1.944713
76.10094,153.8701,5.324432,505.4142,221.6275,-451.8021,46.9,10,1.836731
77.10274,152.6781,5.343351,503.6306,230.156,-445.5024,46.9,10,1.780332
78.10419,151.4826,5.362534,501.8317,238.5384,-439.0158,46.9,10,1.796271
79.10473,150.2873,5.383759,499.8625,246.6643,-432.2264,46.9,10,1.968192
80.10477,149.0908,5.406605,497.7575,254.55,-425.1673,46.9,10,2.104889
81.10576,147.8944,5.432494,495.3907,262.1082,-417.7459,46.9,10,2.364515
82.10654,146.7123,5.484051,492.3836,269.0047,-409.7118,47.05627,10,3.004711
83.10677,145.547,6.063235,489.2048,275.2099,-401.1368,51.67301,10,3.178114
84.10901,144.3845,6.662885,485.7642,280.9708,-392.2315,56.36191,10,3.432905
85.11015,143.2268,7.27799,482.1167,286.2934,-383.0696,61.07618,10,3.64325
86.11047,142.0637,7.919437,478.472,291.352,-373.7693,65.92409,10,3.643578
87.11066,140.8926,8.576087,474.8488,296.1744,-364.3459,70.81066,10,3.622573
88.11227,139.7094,9.249304,471.2786,300.7966,-354.8057,75.74886,9.999999,3.564358
89.11269,138.5157,9.935472,467.7988,305.2293,-345.1899,80.71355,10,3.478384
90.11417,137.302,10.64294,464.5367,309.5988,-335.5328,85.79445,10,3.257236
91.11597,136.0669,11.36146,461.5365,313.9471,-325.8626,90.92183,9.999999,2.994852
92.11676,134.8143,12.07205,458.7407,318.2314,-316.1755,95.94179,10,2.793609
93.11752,133.5477,12.80196,456.1028,322.3663,-306.4242,101.064,9.999999,2.635901
94.1194,132.27,13.54493,453.5155,326.26,-296.5614,106.2169,10,2.582428
95.12083,130.9808,14.29086,451.0123,329.9461,-286.6239,111.33,10,2.499641
96.12292,129.6695,14.97753,448.655,333.6151,-276.6727,115.9505,10.14373,2.35233
97.12301,128.3398,15.22499,445.6387,337.267,-266.7377,117.0292,10.01918,3.016046
98.12334,126.997,15.38859,442.494,340.735,-256.7345,117.4221,10.00254,3.143739
99.12474,125.6384,15.52025,439.3668,344.0574,-246.67,117.5652,10.00034,3.122777
100.1262,124.275,15.64695,436.0894,347.0056,-236.4895,117.6173,10.00004,3.272539
101.1265,122.9063,15.77455,432.7201,349.6123,-226.2292,117.6362,10.00001,3.368408
102.1274,121.5247,15.90238,429.3557,351.9828,-215.904,117.6431,10,3.361342
